Program,Enrollment Year,Gender,DOB,District,Country,Education Background,GPA,Professional Engagement,Mothers Profession,Fathers Profession,Status,Withdrawn or Graduate Date (mm.dd.yy),Reason for Withdrawal,Year,Actual Concentration
,,,,,,,,,,,,,,,
MBA,2019,Male,29/11/1993,Kathmandu,Nepal,Bachelor of Business Administration,3.41,Unemployed,Business,Business,Withdrawn ,"March 15, 2020",Abroad Study,2020,Pending 
MBA,2019,Male,11/14/1994,Kaski,Nepal,Bachelor of Business Administration,3.08,Unemployed,Housewife,Businessman,Graduate,"August 21, 2021",,2021,Marketing Management
MBA,2019,Female,10/02/1997,Mahottari,Nepal,Bachelor of Business Administration,2.86,Employed,NGO worker,NGO worker,Graduate,"August 21, 2021",,2021,Entrepreneurship 
MBA,2019,Male,10/06/1995,Kathmandu,Nepal,Bachelor of Business Administration,2.99,Employed,Housewife,Business,Withdrawn ,"December 30, 2019",Work Commitment,2019,Pending 
MBA,2019,Male,09/10/1996,Kathmandu,Nepal,Bachelor's Degree in Hotel Management,2.6,Employed,,,Withdrawn ,"November 14, 2019",Work Commitment,2019,Pending 
MBA,2019,Female,03/08/1995,Sunsari,Nepal,Bachelor of Business Administration,2.52,Unemployed,Housewife,Businessman,Withdrawn ,"December 30, 2019",No specific Reason,2019,Pending 
MBA,2019,Female,03/01/1995,Kathmandu,Nepal,Bachelor of Business Administration,2.81,Employed,,,Withdrawn ,"March 11, 2020",Work Commitment,2020,Pending 
MBA,2019,Female,27/12/1995,Kathmandu,Nepal,Bachelor of Business Administration,2.21,Employed,,,Withdrawn ,"October 14, 2020",Work Commitment,2020,Pending 
MBA,2019,Female,09/07/1994,Udaypur,Nepal,Bachelor of Business Administration,3.6,Employed,Teacher,Nepal Army,Withdrawn ,"March 11, 2020",Administrative withdrawal,2020,Pending 
MBA,2019,Male,09/06/1993,Dang,Nepal,Bachelor's Degree in Business Studies,0.3757,Employed,,,Graduate,"August 21, 2021",,2021,Entrepreneurship 
MBA,2019,Female,07/10/1997,Lalitpur,Nepal,Bachelor of Business Administration,3.11,Employed,Real estate entrepreneur,Businessman,Withdrawn ,"September 7, 2019",Work Commitment,2019,Pending 
